date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:04:30	16049/16049	---M--	200	added ('OK')	image/jpeg	etag:%229876fe054a2220e5a5cc8c5746991926%22	https://www.zoomcar.com/build/img/car_bg.9876fe054a2220e5a5cc8c5746991926.jpg	E:/Web%20Development/Zoom%20Car/www.zoomcar.com/build/img/car_bg.9876fe054a2220e5a5cc8c5746991926.jpg	(from https://www.zoomcar.com/)
17:04:30	34938/34938	---M--	200	added ('OK')	image/png	etag:%22c29787ea252ea4b9b3263561d75ddff5%22	https://s3-ap-southeast-1.amazonaws.com/zoomcar/photos/profile/6b6cc7b58544ce9d560829f482fbd77916ce3ba2.png?1501503621	E:/Web%20Development/Zoom%20Car/s3-ap-southeast-1.amazonaws.com/zoomcar/photos/profile/6b6cc7b58544ce9d560829f482fbd77916ce3ba200d3.png	(from https://www.zoomcar.com/)
17:04:31	125514/125514	---M--	200	added ('OK')	image/png	etag:%22386b6220327dca8d0ffb5784ca6b694f%22	https://s3-ap-southeast-1.amazonaws.com/zoomcar/photos/profile/46c8981ab67fb24d18d18fc49abd84b534cd0d56.png?1454416697	E:/Web%20Development/Zoom%20Car/s3-ap-southeast-1.amazonaws.com/zoomcar/photos/profile/46c8981ab67fb24d18d18fc49abd84b534cd0d56389c.png	(from https://www.zoomcar.com/)
17:04:31	4150/4150	---M-Z	200	added ('OK')	image/svg+xml	etag:%22f804056bb2429eeabf95836bdf8865e1%22	https://www.zoomcar.com/build/img/book.f804056bb2429eeabf95836bdf8865e1.svg	E:/Web%20Development/Zoom%20Car/www.zoomcar.com/build/img/book.f804056bb2429eeabf95836bdf8865e1.svg	(from https://www.zoomcar.com/)
17:04:31	1143/1143	---M-Z	200	added ('OK')	image/svg+xml	etag:%2299966c7703663379725f13d45663b372%22	https://www.zoomcar.com/build/img/dl.99966c7703663379725f13d45663b372.svg	E:/Web%20Development/Zoom%20Car/www.zoomcar.com/build/img/dl.99966c7703663379725f13d45663b372.svg	(from https://www.zoomcar.com/)
17:04:31	1519/1519	---M--	200	added ('OK')	image/png	etag:%220dda8a38a08738d2384ec1230998423a%22	https://www.zoomcar.com/build/img/unlock.0dda8a38a08738d2384ec1230998423a.png	E:/Web%20Development/Zoom%20Car/www.zoomcar.com/build/img/unlock.0dda8a38a08738d2384ec1230998423a.png	(from https://www.zoomcar.com/)
17:04:31	2591/2591	---M-Z	200	added ('OK')	image/svg+xml	etag:%22db4f328f3f4b83596bb3f2aefd04a864%22	https://www.zoomcar.com/build/img/zoom.db4f328f3f4b83596bb3f2aefd04a864.svg	E:/Web%20Development/Zoom%20Car/www.zoomcar.com/build/img/zoom.db4f328f3f4b83596bb3f2aefd04a864.svg	(from https://www.zoomcar.com/)
17:04:32	2523/2523	---M-Z	200	added ('OK')	image/svg+xml	etag:%22c50e35f6ae4b2891e95c121082d968f0%22	https://www.zoomcar.com/build/img/return.c50e35f6ae4b2891e95c121082d968f0.svg	E:/Web%20Development/Zoom%20Car/www.zoomcar.com/build/img/return.c50e35f6ae4b2891e95c121082d968f0.svg	(from https://www.zoomcar.com/)
17:04:32	67884/67884	---M--	200	added ('OK')	image/jpeg	etag:%22daa074b25be54e8df493f629f6a10f61%22	https://www.zoomcar.com/build/img/app_bg.daa074b25be54e8df493f629f6a10f61.jpg	E:/Web%20Development/Zoom%20Car/www.zoomcar.com/build/img/app_bg.daa074b25be54e8df493f629f6a10f61.jpg	(from https://www.zoomcar.com/)
17:04:32	1845/1845	---M-Z	200	added ('OK')	image/svg+xml	etag:%22121c23ffa50aa2da7a1e1f829048dd90%22	https://www.zoomcar.com/build/img/steering-wheel.121c23ffa50aa2da7a1e1f829048dd90.svg	E:/Web%20Development/Zoom%20Car/www.zoomcar.com/build/img/steering-wheel.121c23ffa50aa2da7a1e1f829048dd90.svg	(from https://www.zoomcar.com/)
17:04:32	917/917	---M-Z	200	added ('OK')	image/svg+xml	etag:%22c650409b5435456374eca19943b697f0%22	https://www.zoomcar.com/build/img/happy.c650409b5435456374eca19943b697f0.svg	E:/Web%20Development/Zoom%20Car/www.zoomcar.com/build/img/happy.c650409b5435456374eca19943b697f0.svg	(from https://www.zoomcar.com/)
17:04:33	1877/1877	---M-Z	200	added ('OK')	image/svg+xml	etag:%224dc69060e383492afc70514e93ca766c%22	https://www.zoomcar.com/build/img/kms.4dc69060e383492afc70514e93ca766c.svg	E:/Web%20Development/Zoom%20Car/www.zoomcar.com/build/img/kms.4dc69060e383492afc70514e93ca766c.svg	(from https://www.zoomcar.com/)
17:04:33	2831/2831	---M-Z	200	added ('OK')	image/svg+xml	etag:%22fcc55acb001edaad3d14055517a1e1b4%22	https://www.zoomcar.com/build/img/cars.fcc55acb001edaad3d14055517a1e1b4.svg	E:/Web%20Development/Zoom%20Car/www.zoomcar.com/build/img/cars.fcc55acb001edaad3d14055517a1e1b4.svg	(from https://www.zoomcar.com/)
17:04:33	6518/6518	---M-Z	200	added ('OK')	image/svg+xml	etag:%225999c91406d9adad8f35df39ef055ec5%22	https://www.zoomcar.com/build/img/star_rating.5999c91406d9adad8f35df39ef055ec5.svg	E:/Web%20Development/Zoom%20Car/www.zoomcar.com/build/img/star_rating.5999c91406d9adad8f35df39ef055ec5.svg	(from https://www.zoomcar.com/)
